,WCS (US$/b),WTI (US$/b),crude pipeline exports (b),export by rail (bbl),US imports from Canada (thousands of b)
1/1/2009 12:00:00 AM,29.97,41.92,,,59867
2/1/2009 12:00:00 AM,31.71,39.26,,,52971
3/1/2009 12:00:00 AM,40.76,48.06,,,56918
4/1/2009 12:00:00 AM,43.76,49.95,,,55621
5/1/2009 12:00:00 AM,51.64,59.21,,,54127
6/1/2009 12:00:00 AM,61.18,69.7,,,60034
7/1/2009 12:00:00 AM,54.45,64.29,,,65994
8/1/2009 12:00:00 AM,60.57,71.14,,,62077
9/1/2009 12:00:00 AM,59.52,69.47,,,58138
10/1/2009 12:00:00 AM,65.29,75.82,,,57600
11/1/2009 12:00:00 AM,65.04,78.15,,,60543
12/1/2009 12:00:00 AM,61.89,74.6,,,65216
1/1/2010 12:00:00 AM,69.28,78.4,,,58053
2/1/2010 12:00:00 AM,67.91,76.45,,,53033
3/1/2010 12:00:00 AM,71.82,81.29,,,62289
4/1/2010 12:00:00 AM,72.02,84.58,,,55880
5/1/2010 12:00:00 AM,57.49,74.12,,,61925
6/1/2010 12:00:00 AM,62.33,75.41,,,65218
7/1/2010 12:00:00 AM,64.28,76.38,,,63708
8/1/2010 12:00:00 AM,61.93,76.67,,,59994
9/1/2010 12:00:00 AM,55.44,75.55,,,58098
10/1/2010 12:00:00 AM,56.72,81.95,,,57073
11/1/2010 12:00:00 AM,69.56,84.32,,,59253
12/1/2010 12:00:00 AM,74.89,89.23,,,64651
1/1/2011 12:00:00 AM,71.18,89.58,,,69030
2/1/2011 12:00:00 AM,63.42,89.74,,,64153
3/1/2011 12:00:00 AM,79.13,102.98,,,68401
4/1/2011 12:00:00 AM,89.69,110.04,,,64342
5/1/2011 12:00:00 AM,85.66,101.36,,,62696
6/1/2011 12:00:00 AM,79.42,96.29,,,62179
7/1/2011 12:00:00 AM,78.31,97.34,,,67484
8/1/2011 12:00:00 AM,66.51,86.34,,,68790
9/1/2011 12:00:00 AM,71.6,85.61,,,69817
10/1/2011 12:00:00 AM,76.54,86.43,,,69620
11/1/2011 12:00:00 AM,87.32,97.16,,,70095
12/1/2011 12:00:00 AM,86.86,98.58,,,75357
1/1/2012 12:00:00 AM,86.47,100.32,," 290,635 ",76347
2/1/2012 12:00:00 AM,83.04,102.26,," 502,897 ",73111
3/1/2012 12:00:00 AM,75.01,106.21,," 660,660 ",76877
4/1/2012 12:00:00 AM,70.4,103.35,," 855,524 ",73733
5/1/2012 12:00:00 AM,75.1,94.72,," 1,035,239 ",74615
6/1/2012 12:00:00 AM,66.37,82.41,," 1,012,750 ",75461
7/1/2012 12:00:00 AM,64.28,87.93,," 1,559,671 ",76502
8/1/2012 12:00:00 AM,69.03,94.16,," 1,673,283 ",76232
9/1/2012 12:00:00 AM,78.17,94.56,," 2,034,677 ",68964
