Date,WCS,WTI (US$/b),Mexican MAYA costs (US$/b),EXCH (CA:US),PADD2 utilization of refinery operational capacity,PADD3 utilization,US imports from Canada (thousands of b)
Jan-09,29.97,41.92,36.61,1.2248,85.8,81.9,59867
Feb-09,31.71,39.26,37.12,1.2452,86.8,80.8,52971
Mar-09,40.76,48.06,40.36,1.2645,80.7,85.2,56918
Apr-09,43.76,49.95,46.17,1.2242,84.7,86.5,55621
May-09,51.64,59.21,54.99,1.1528,88.3,85,54127
Jun-09,61.18,69.7,62.89,1.1264,90.8,86.1,60034
Jul-09,54.45,64.29,59.36,1.1229,90.1,84.7,65994
Aug-09,60.57,71.14,66.27,1.0872,86.9,87.4,62077
Sep-09,59.52,69.47,63.67,1.0816,86.7,86.2,58138
Oct-09,65.29,75.82,67.65,1.0547,81.1,83.4,57600
Nov-09,65.04,78.15,71.58,1.0593,82.7,84,60543
Dec-09,61.89,74.6,68.51,1.0537,86.2,82.9,65216
Jan-10,69.28,78.4,71.37,1.0438,86.3,78.4,58053
Feb-10,67.91,76.45,68.05,1.0572,88,78.7,53033
Mar-10,71.82,81.29,70.35,1.0229,83,86,62289
Apr-10,72.02,84.58,73.13,1.0052,84.5,93.6,55880
May-10,57.49,74.12,66.27,1.0403,91.9,91.4,61925
Jun-10,62.33,75.41,65.37,1.0376,93.3,92.1,65218
Jul-10,64.28,76.38,66.7,1.0422,93.7,93.4,63708
Aug-10,61.93,76.67,67.89,1.0404,93.4,91.5,59994
Sep-10,55.44,75.55,67.53,1.0330,89.8,88.2,58098
Oct-10,56.72,81.95,72.43,1.0179,82.9,86.4,57073
Nov-10,69.56,84.32,74.89,1.0129,88.1,90.1,59253
Dec-10,74.89,89.23,79.21,1.0081,89.7,93,64651
Jan-11,71.18,89.58,81.66,0.9939,90.5,88.9,69030
Feb-11,63.42,89.74,86.56,0.9876,89.5,79.3,64153
Mar-11,79.13,102.98,98.77,0.9766,88,87.4,68401
Apr-11,89.69,110.04,106.55,0.9580,87.7,86.3,64342
May-11,85.66,101.36,101.56,0.9680,89.5,88.4,62696
Jun-11,79.42,96.29,101.11,0.9766,93.6,91.8,62179
Jul-11,78.31,97.34,102.47,0.9553,93.6,91.3,67484
Aug-11,66.51,86.34,95.89,0.9817,90.7,93.9,68790
Sep-11,71.6,85.61,97.25,1.0025,93.7,89.8,69817
Oct-11,76.54,86.43,99.59,1.0198,90.3,88,69620
Nov-11,87.32,97.16,105.99,1.0248,92.7,91.2,70095
Dec-11,86.86,98.58,104.34,1.0235,95.1,89.7,75357
Jan-12,86.47,100.32,105.91,1.0130,94.6,84.6,76347
Feb-12,83.04,102.26,108.59,0.9967,93.8,86.8,73111
Mar-12,75.01,106.21,111.9,0.9938,91.3,86.5,76877
Apr-12,70.4,103.35,108.63,0.9928,95.6,86.8,73733
May-12,75.1,94.72,101.32,1.0097,93,93.7,74615
Jun-12,66.37,82.41,88.42,1.0280,92,94.2,75461
Jul-12,64.28,87.93,92.95,1.0142,93.4,93.8,76502
