Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MOPUEP32&f=M
19:50:22 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity Percent
Aug 2018,97.5
Jul 2018,94.9
Jun 2018,97.2
May 2018,93
Apr 2018,92.8
Mar 2018,92.4
Feb 2018,87.5
Jan 2018,91.7
Dec 2017,95.4
Nov 2017,92.9
Oct 2017,90
Sep 2017,78.1
Aug 2017,89.6
Jul 2017,96.7
Jun 2017,95.8
May 2017,97
Apr 2017,93.3
Mar 2017,89.4
Feb 2017,85.7
Jan 2017,87.8
Dec 2016,94.3
Nov 2016,91.1
Oct 2016,86.1
Sep 2016,90.5
Aug 2016,91.7
Jul 2016,92.5
Jun 2016,91.3
May 2016,91.4
Apr 2016,90.7
Mar 2016,91.6
Feb 2016,88.7
Jan 2016,87.5
Dec 2015,94.9
Nov 2015,93
Oct 2015,89.4
Sep 2015,91.7
Aug 2015,94.4
Jul 2015,95
Jun 2015,95.5
May 2015,94.4
Apr 2015,93.5
Mar 2015,89.2
Feb 2015,88.3
Jan 2015,88.3
Dec 2014,95
Nov 2014,93.5
Oct 2014,88.7
Sep 2014,92.4
Aug 2014,96
Jul 2014,96.1
Jun 2014,89.8
May 2014,90.9
Apr 2014,92.9
Mar 2014,87.4
Feb 2014,86.4
Jan 2014,88
Dec 2013,93.6
Nov 2013,92.1
Oct 2013,87.1
Sep 2013,92.2
Aug 2013,92.4
Jul 2013,95.2
Jun 2013,94.4
May 2013,92.4
Apr 2013,88.5
Mar 2013,84.3
Feb 2013,79.7
Jan 2013,83.3
Dec 2012,94.9
Nov 2012,93.9
Oct 2012,89.1
Sep 2012,88.9
Aug 2012,91.4
Jul 2012,93.8
Jun 2012,94.2
May 2012,93.7
Apr 2012,86.8
Mar 2012,86.5
Feb 2012,86.8
Jan 2012,84.6
Dec 2011,89.7
Nov 2011,91.2
Oct 2011,88
Sep 2011,89.8
Aug 2011,93.9
Jul 2011,91.3
Jun 2011,91.8
May 2011,88.4
Apr 2011,86.3
Mar 2011,87.4
Feb 2011,79.3
Jan 2011,88.9
Dec 2010,93
Nov 2010,90.1
Oct 2010,86.4
Sep 2010,88.2
Aug 2010,91.5
Jul 2010,93.4
Jun 2010,92.1
May 2010,91.4
Apr 2010,93.6
Mar 2010,86
Feb 2010,78.7
Jan 2010,78.4
Dec 2009,82.9
Nov 2009,84
Oct 2009,83.4
Sep 2009,86.2
Aug 2009,87.4
Jul 2009,84.7
Jun 2009,86.1
May 2009,85
Apr 2009,86.5
Mar 2009,85.2
Feb 2009,80.8
Jan 2009,81.9
Dec 2008,84.7
Nov 2008,84.4
Oct 2008,82.6
Sep 2008,59.8
Aug 2008,85.6
Jul 2008,89.4
Jun 2008,89.3
May 2008,89.4
Apr 2008,86.6
Mar 2008,84.4
Feb 2008,83.6
Jan 2008,83.2
Dec 2007,87.7
Nov 2007,88.6
Oct 2007,88.3
Sep 2007,88.4
Aug 2007,91
Jul 2007,92.5
Jun 2007,88.2
