Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MOPUEP22&f=M
19:50:18 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity Percent
Aug 2018,97.5
Jul 2018,94.9
Jun 2018,97
May 2018,98.5
Apr 2018,94.6
Mar 2018,90
Feb 2018,89.1
Jan 2018,91.4
Dec 2017,95
Nov 2017,92.9
Oct 2017,84.7
Sep 2017,92
Aug 2017,99.1
Jul 2017,96.2
Jun 2017,97.7
May 2017,95.3
Apr 2017,95.1
Mar 2017,92.5
Feb 2017,90.6
Jan 2017,93
Dec 2016,93.1
Nov 2016,92.7
Oct 2016,90.4
Sep 2016,91.7
Aug 2016,95.3
Jul 2016,94.7
Jun 2016,93.7
May 2016,92
Apr 2016,85
Mar 2016,86.5
Feb 2016,92.5
Jan 2016,94.9
Dec 2015,93.9
Nov 2015,91.3
Oct 2015,77.4
Sep 2015,89.6
Aug 2015,93.8
Jul 2015,98.4
Jun 2015,95.5
May 2015,95.7
Apr 2015,96.4
Mar 2015,91.5
Feb 2015,92.7
Jan 2015,88.8
Dec 2014,97.1
Nov 2014,91.4
Oct 2014,86.1
Sep 2014,93.7
Aug 2014,93.9
Jul 2014,97.6
Jun 2014,96.1
May 2014,94.2
Apr 2014,91.3
Mar 2014,84.5
Feb 2014,93
Jan 2014,91.6
Dec 2013,94.2
Nov 2013,94.6
Oct 2013,91.8
Sep 2013,90.6
Aug 2013,93.7
Jul 2013,94.6
Jun 2013,88.4
May 2013,81.9
Apr 2013,83.6
Mar 2013,85.4
Feb 2013,88
Jan 2013,88.5
Dec 2012,91.1
Nov 2012,87.9
Oct 2012,89.3
Sep 2012,89.3
Aug 2012,94.2
Jul 2012,93.4
Jun 2012,92
May 2012,93
Apr 2012,95.6
Mar 2012,91.3
Feb 2012,93.8
Jan 2012,94.6
Dec 2011,95.1
Nov 2011,92.7
Oct 2011,90.3
Sep 2011,93.7
Aug 2011,90.7
Jul 2011,93.6
Jun 2011,93.6
May 2011,89.5
Apr 2011,87.7
Mar 2011,88
Feb 2011,89.5
Jan 2011,90.5
Dec 2010,89.7
Nov 2010,88.1
Oct 2010,82.9
Sep 2010,89.8
Aug 2010,93.4
Jul 2010,93.7
Jun 2010,93.3
May 2010,91.9
Apr 2010,84.5
Mar 2010,83
Feb 2010,88
Jan 2010,86.3
Dec 2009,86.2
Nov 2009,82.7
Oct 2009,81.1
Sep 2009,86.7
Aug 2009,86.9
Jul 2009,90.1
Jun 2009,90.8
May 2009,88.3
Apr 2009,84.7
Mar 2009,80.7
Feb 2009,86.8
Jan 2009,85.8
Dec 2008,85.7
Nov 2008,89.2
Oct 2008,87.3
Sep 2008,87.9
Aug 2008,89.1
Jul 2008,90.3
Jun 2008,92
May 2008,92.6
Apr 2008,89.6
Mar 2008,80.9
Feb 2008,87.9
Jan 2008,88.4
Dec 2007,90.1
Nov 2007,86.8
Oct 2007,85.5
Sep 2007,89.3
Aug 2007,92.2
Jul 2007,89.3
Jun 2007,89.9
May 2007,92.6
