U.S. FOB Costs of Mexican Mayan Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?category=330447&sdid=PET.IMX2810004.M
18:33:29 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.IMX2810004.M Dollars per Barrel
Aug 2018,63.27
Jul 2018,66.35
Jun 2018,64.61
May 2018,63.55
Apr 2018,57.87
Mar 2018,56.98
Feb 2018,56.82
Jan 2018,59.05
Dec 2017,55.32
Nov 2017,54.73
Oct 2017,49.01
Sep 2017,48.11
Aug 2017,46.4
Jul 2017,44.33
Jun 2017,42.07
May 2017,44.98
Apr 2017,44.54
Mar 2017,42.3
Feb 2017,45.88
Jan 2017,45.74
Dec 2016,45.55
Nov 2016,39.73
Oct 2016,43.2
Sep 2016,38.61
Aug 2016,38.76
Jul 2016,40.25
Jun 2016,42.43
May 2016,39.08
Apr 2016,30.95
Mar 2016,29.22
Feb 2016,24.84
Jan 2016,24.21
Dec 2015,28.74
Nov 2015,35.36
Oct 2015,39.14
Sep 2015,39.5
Aug 2015,40.55
Jul 2015,50.53
Jun 2015,56.63
May 2015,55.16
Apr 2015,49.53
Mar 2015,45.67
Feb 2015,47.31
Jan 2015,40.11
Dec 2014,52.52
Nov 2014,71.43
Oct 2014,78.85
Sep 2014,88.13
Aug 2014,91.1
Jul 2014,94.33
Jun 2014,97.86
May 2014,94.89
Apr 2014,93.03
Mar 2014,90.13
Feb 2014,90.01
Jan 2014,87.17
Dec 2013,88.47
Nov 2013,87.02
Oct 2013,92.67
Sep 2013,98.96
Aug 2013,99.74
Jul 2013,99.63
Jun 2013,96.26
May 2013,98.24
Apr 2013,98.78
Mar 2013,103.49
Feb 2013,106.36
Jan 2013,97.42
Dec 2012,91.42
Nov 2012,91.1
Oct 2012,96.83
Sep 2012,100.83
Aug 2012,99
Jul 2012,92.95
Jun 2012,88.42
May 2012,101.32
Apr 2012,108.63
Mar 2012,111.9
Feb 2012,108.59
Jan 2012,105.91
Dec 2011,104.34
Nov 2011,105.99
Oct 2011,99.59
Sep 2011,97.25
Aug 2011,95.89
Jul 2011,102.47
Jun 2011,101.11
May 2011,101.56
Apr 2011,106.55
Mar 2011,98.77
Feb 2011,86.56
Jan 2011,81.66
Dec 2010,79.21
Nov 2010,74.89
Oct 2010,72.43
Sep 2010,67.53
Aug 2010,67.89
Jul 2010,66.7
Jun 2010,65.37
May 2010,66.27
Apr 2010,73.13
Mar 2010,70.35
Feb 2010,68.05
Jan 2010,71.37
Dec 2009,68.51
Nov 2009,71.58
Oct 2009,67.65
Sep 2009,63.67
Aug 2009,66.27
Jul 2009,59.36
Jun 2009,62.89
May 2009,54.99
Apr 2009,46.17
Mar 2009,40.36
Feb 2009,37.12
Jan 2009,36.61
Dec 2008,32.03
Nov 2008,40.46
Oct 2008,62.02
Sep 2008,91.3
Aug 2008,107.19
Jul 2008,121.36
Jun 2008,113.76
May 2008,101.79
Apr 2008,91.4
