Id,When,Type,Unit,Alberta,ModifiedDate
74390,1/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.56,9/28/2018 10:37:40 AM
74391,2/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.63,9/28/2018 10:37:40 AM
74392,3/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.6,9/28/2018 10:37:40 AM
74393,4/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74394,5/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.48,9/28/2018 10:37:40 AM
74395,6/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.46,9/28/2018 10:37:40 AM
74396,7/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74397,8/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74398,9/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74399,10/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.55,9/28/2018 10:37:40 AM
74400,11/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.59,9/28/2018 10:37:40 AM
74401,12/1/1988 12:00:00 AM,NatGas,$CDN/GJ,1.61,9/28/2018 10:37:40 AM
74402,1/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.62,9/28/2018 10:37:40 AM
74403,2/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.62,9/28/2018 10:37:40 AM
74404,3/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.58,9/28/2018 10:37:40 AM
74405,4/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.55,9/28/2018 10:37:40 AM
74406,5/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.54,9/28/2018 10:37:40 AM
74407,6/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.5,9/28/2018 10:37:40 AM
74408,7/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.46,9/28/2018 10:37:40 AM
74409,8/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.46,9/28/2018 10:37:40 AM
74410,9/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.47,9/28/2018 10:37:40 AM
74411,10/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.47,9/28/2018 10:37:40 AM
74412,11/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.52,9/28/2018 10:37:40 AM
74413,12/1/1989 12:00:00 AM,NatGas,$CDN/GJ,1.55,9/28/2018 10:37:40 AM
74414,1/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.62,9/28/2018 10:37:40 AM
74415,2/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.64,9/28/2018 10:37:40 AM
74416,3/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.59,9/28/2018 10:37:40 AM
74417,4/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74418,5/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.55,9/28/2018 10:37:40 AM
74419,6/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.5,9/28/2018 10:37:40 AM
74420,7/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.5,9/28/2018 10:37:40 AM
74421,8/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.48,9/28/2018 10:37:40 AM
74422,9/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.48,9/28/2018 10:37:40 AM
74423,10/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.52,9/28/2018 10:37:40 AM
74424,11/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.58,9/28/2018 10:37:40 AM
74425,12/1/1990 12:00:00 AM,NatGas,$CDN/GJ,1.64,9/28/2018 10:37:40 AM
74426,1/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.64,9/28/2018 10:37:40 AM
74427,2/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.59,9/28/2018 10:37:40 AM
74428,3/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.49,9/28/2018 10:37:40 AM
74429,4/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.42,9/28/2018 10:37:40 AM
74430,5/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.38,9/28/2018 10:37:40 AM
74431,6/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.3,9/28/2018 10:37:40 AM
74432,7/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.25,9/28/2018 10:37:40 AM
74433,8/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.18,9/28/2018 10:37:40 AM
74434,9/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.18,9/28/2018 10:37:40 AM
74435,10/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.22,9/28/2018 10:37:40 AM
74436,11/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.33,9/28/2018 10:37:40 AM
74437,12/1/1991 12:00:00 AM,NatGas,$CDN/GJ,1.36,9/28/2018 10:37:40 AM
74438,1/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.36,9/28/2018 10:37:40 AM
74439,2/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.26,9/28/2018 10:37:40 AM
74440,3/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.22,9/28/2018 10:37:40 AM
74441,4/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.24,9/28/2018 10:37:40 AM
74442,5/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.26,9/28/2018 10:37:40 AM
74443,6/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.28,9/28/2018 10:37:40 AM
74444,7/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.21,9/28/2018 10:37:40 AM
74445,8/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.28,9/28/2018 10:37:40 AM
74446,9/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.28,9/28/2018 10:37:40 AM
74447,10/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.45,9/28/2018 10:37:40 AM
74448,11/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.45,9/28/2018 10:37:40 AM
74449,12/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.44,9/28/2018 10:37:40 AM
74450,1/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.46,9/28/2018 10:37:40 AM
74451,2/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.42,9/28/2018 10:37:40 AM
